feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27
1.0,1.0,11.0,0.5714285714285725,0.2987012987012987,0.21839080459770116,3.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,0.13333333333333333,4.0,4.0,0.5915492957746479,0.9066511085180864,1.0,0.14285714285714285,1.0,1.0,9.0,1.0,1.0,0.0
1.0,1.0,12.0,0.4489795918367354,0.42857142857142855,0.4482758620689655,3.0,1.0,4.0,1.0,5.0,3.0,3.0,2.0,3.0,0.4666666666666667,4.0,5.0,0.5774647887323944,0.040840140023337225,2.0,0.14285714285714285,2.0,1.0,10.0,1.0,1.0,0.0
1.0,2.0,13.0,0.5306122448979597,0.6363636363636364,0.3103448275862069,3.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,1.0,0.13333333333333333,4.0,5.0,0.6901408450704225,0.052508751458576426,3.0,0.5285714285714286,2.0,2.0,11.0,1.0,1.0,1.0
2.0,1.0,14.0,0.428571428571429,0.11688311688311688,0.1724137931034483,3.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.4647887323943662,0.049008168028004666,2.0,0.14285714285714285,1.0,2.0,4.0,1.0,1.0,0.0
2.0,1.0,15.0,0.8163265306122451,0.5194805194805194,0.2988505747126437,4.0,3.0,6.0,1.0,3.0,3.0,3.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.7183098591549296,0.0630105017502917,2.0,0.14285714285714285,1.0,2.0,4.0,1.0,1.0,0.0
1.0,1.0,16.0,0.9183673469387758,0.2727272727272727,0.5862068965517241,1.0,1.0,5.0,2.0,5.0,4.0,4.0,3.0,1.0,0.13333333333333333,4.0,4.0,0.5915492957746479,0.03267211201866978,2.0,0.14285714285714285,1.0,1.0,7.0,1.0,1.0,0.0
2.0,1.0,17.0,0.6122448979591838,0.11688311688311688,0.08045977011494253,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,0.6,4.0,3.0,0.6338028169014085,0.040840140023337225,2.0,0.14285714285714285,1.0,2.0,4.0,1.0,1.0,0.0
1.0,1.0,18.0,0.6530612244897966,0.07792207792207792,0.28735632183908044,2.0,1.0,4.0,1.0,2.0,3.0,1.0,2.0,1.0,0.13333333333333333,1.0,5.0,0.6197183098591549,0.045507584597432905,2.0,0.14285714285714285,1.0,1.0,12.0,1.0,1.0,0.0
1.0,2.0,19.0,0.5918367346938774,0.6493506493506493,0.5862068965517241,3.0,3.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.647887323943662,0.7782963827304551,2.0,0.14285714285714285,1.0,1.0,12.0,1.0,1.0,0.0
1.0,1.0,20.0,0.551020408163266,0.19480519480519481,0.034482758620689655,3.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,2.0,0.13333333333333333,4.0,5.0,0.6619718309859155,0.7199533255542591,2.0,0.14285714285714285,1.0,1.0,12.0,1.0,1.0,0.0
2.0,1.0,21.0,0.4897959183673468,0.19480519480519481,0.3793103448275862,3.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.4647887323943662,0.049008168028004666,2.0,0.14285714285714285,1.0,2.0,4.0,1.0,1.0,0.0
1.0,1.0,22.0,0.5306122448979597,0.11688311688311688,0.12643678160919541,3.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.4647887323943662,0.049008168028004666,2.0,0.14285714285714285,2.0,2.0,3.0,1.0,1.0,0.0
2.0,1.0,23.0,0.46938775510204184,0.11688311688311688,0.12643678160919541,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13333333333333333,4.0,5.0,0.5774647887323944,0.8483080513418904,2.0,0.14285714285714285,1.0,2.0,4.0,1.0,1.0,0.0
2.0,1.0,24.0,0.46938775510204184,0.42857142857142855,0.2413793103448276,3.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,2.0,0.4,4.0,5.0,0.8732394366197183,0.049008168028004666,2.0,0.14285714285714285,2.0,1.0,13.0,1.0,1.0,0.0
2.0,1.0,25.0,0.36734693877551117,0.5064935064935064,0.034482758620689655,3.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,0.6666666666666666,3.0,3.0,0.676056338028169,0.05717619603267211,3.0,0.9142857142857144,3.0,1.0,14.0,1.0,1.0,1.0
1.0,1.0,26.0,0.36734693877551117,0.19480519480519481,0.12643678160919541,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.5492957746478874,0.03850641773628938,2.0,0.14285714285714285,1.0,1.0,15.0,1.0,1.0,0.0
1.0,1.0,27.0,0.5306122448979597,0.45454545454545453,0.2413793103448276,3.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,3.0,0.13333333333333333,4.0,4.0,0.676056338028169,0.03850641773628938,2.0,0.14285714285714285,1.0,1.0,16.0,1.0,1.0,0.0
2.0,1.0,28.0,0.5306122448979597,0.4805194805194805,0.1724137931034483,4.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,0.13333333333333333,4.0,2.0,0.971830985915493,0.05950991831971996,2.0,0.14285714285714285,3.0,1.0,17.0,1.0,1.0,0.0
1.0,1.0,29.0,0.4897959183673468,0.2727272727272727,0.12643678160919541,3.0,3.0,1.0,1.0,5.0,3.0,1.0,2.0,1.0,0.13333333333333333,1.0,1.0,0.7323943661971831,0.8949824970828472,1.0,0.14285714285714285,1.0,1.0,12.0,1.0,1.0,0.0
1.0,2.0,30.0,0.7755102040816337,0.7532467532467533,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.4647887323943662,0.049008168028004666,2.0,0.14285714285714285,2.0,1.0,18.0,1.0,1.0,0.0
1.0,1.0,31.0,0.5306122448979597,0.37662337662337664,0.12643678160919541,3.0,3.0,6.0,2.0,5.0,3.0,3.0,1.0,3.0,0.13333333333333333,4.0,5.0,0.8309859154929577,0.037339556592765465,3.0,0.14285714285714285,2.0,1.0,13.0,1.0,1.0,0.0
2.0,1.0,32.0,0.5306122448979597,0.19480519480519481,0.034482758620689655,3.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,0.13333333333333333,2.0,2.0,0.6056338028169014,0.043173862310385065,2.0,0.14285714285714285,1.0,2.0,12.0,1.0,1.0,0.0
1.0,1.0,33.0,0.5306122448979597,0.5844155844155844,0.12643678160919541,3.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,0.13333333333333333,4.0,5.0,0.676056338028169,0.7432905484247375,2.0,0.14285714285714285,3.0,1.0,6.0,1.0,1.0,0.0
1.0,1.0,34.0,0.0,0.7142857142857143,0.1724137931034483,3.0,3.0,4.0,2.0,4.0,4.0,1.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.7464788732394366,0.7666277712952159,3.0,0.14285714285714285,3.0,1.0,6.0,1.0,1.0,0.0
2.0,1.0,35.0,0.5306122448979597,0.5844155844155844,0.12643678160919541,4.0,3.0,4.0,2.0,5.0,4.0,4.0,1.0,1.0,0.13333333333333333,4.0,5.0,0.7887323943661971,0.037339556592765465,3.0,0.14285714285714285,2.0,1.0,6.0,1.0,1.0,0.0
2.0,1.0,36.0,0.428571428571429,0.11688311688311688,0.08045977011494253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13333333333333333,1.0,5.0,0.4647887323943662,0.037339556592765465,2.0,0.14285714285714285,1.0,2.0,4.0,1.0,1.0,0.0
1.0,1.0,37.0,0.7142857142857145,0.3246753246753247,0.40229885057471265,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,0.8,3.0,1.0,0.704225352112676,0.037339556592765465,3.0,0.14285714285714285,2.0,1.0,17.0,1.0,1.0,0.0
2.0,1.0,38.0,0.36734693877551117,0.35064935064935066,0.4482758620689655,3.0,3.0,5.0,2.0,4.0,1.0,2.0,1.0,2.0,0.13333333333333333,2.0,1.0,0.971830985915493,0.025670945157526256,2.0,0.4428571428571428,2.0,2.0,3.0,1.0,1.0,1.0
2.0,1.0,39.0,0.5306122448979597,0.11688311688311688,0.12643678160919541,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,0.13333333333333333,2.0,2.0,0.5492957746478874,0.05134189031505251,2.0,0.14285714285714285,1.0,2.0,12.0,1.0,1.0,0.0
2.0,1.0,40.0,1.0,0.5454545454545454,0.3103448275862069,3.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,0.8,1.0,5.0,0.7464788732394366,0.05600933488914819,3.0,0.5,3.0,1.0,19.0,1.0,1.0,1.0
1.0,1.0,41.0,0.5306122448979597,0.11688311688311688,0.12643678160919541,3.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.28169014084507044,0.039673278879813305,2.0,0.14285714285714285,1.0,1.0,20.0,1.0,1.0,0.0
1.0,1.0,42.0,0.5306122448979597,0.22077922077922077,0.3103448275862069,2.0,1.0,2.0,1.0,5.0,3.0,3.0,2.0,2.0,0.13333333333333333,4.0,5.0,0.5352112676056338,0.05134189031505251,2.0,0.14285714285714285,2.0,1.0,21.0,1.0,1.0,0.0
2.0,1.0,43.0,0.5306122448979597,0.42857142857142855,0.12643678160919541,3.0,3.0,3.0,2.0,5.0,4.0,4.0,1.0,2.0,0.13333333333333333,4.0,5.0,0.7887323943661971,0.049008168028004666,2.0,0.14285714285714285,2.0,1.0,13.0,1.0,1.0,0.0
2.0,1.0,44.0,0.4897959183673468,0.11688311688311688,0.26436781609195403,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.13333333333333333,4.0,5.0,0.4647887323943662,0.039673278879813305,2.0,0.14285714285714285,1.0,2.0,22.0,1.0,1.0,0.0
2.0,1.0,45.0,0.6326530612244903,0.19480519480519481,0.12643678160919541,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.13333333333333333,1.0,1.0,0.5633802816901409,0.05134189031505251,2.0,0.14285714285714285,1.0,2.0,4.0,1.0,1.0,0.0
2.0,1.0,46.0,0.5714285714285725,0.6493506493506493,0.08045977011494253,4.0,3.0,4.0,2.0,2.0,4.0,4.0,1.0,1.0,0.13333333333333333,4.0,5.0,0.8591549295774648,0.9183197199533255,2.0,0.14285714285714285,3.0,2.0,15.0,2.0,1.0,0.0
1.0,1.0,47.0,0.5306122448979597,0.19480519480519481,0.3103448275862069,3.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,0.13333333333333333,3.0,4.0,0.30985915492957744,0.8016336056009334,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0
2.0,1.0,48.0,0.5102040816326532,0.2727272727272727,0.12643678160919541,1.0,1.0,5.0,2.0,3.0,3.0,1.0,1.0,3.0,0.13333333333333333,3.0,4.0,0.7605633802816901,0.8249708284714119,1.0,0.14285714285714285,1.0,1.0,23.0,1.0,1.0,0.0
2.0,1.0,49.0,0.5306122448979597,0.14285714285714285,0.08045977011494253,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,0.6,4.0,5.0,0.7183098591549296,0.045507584597432905,2.0,0.14285714285714285,1.0,2.0,22.0,1.0,1.0,0.0
1.0,1.0,50.0,0.46938775510204184,0.16883116883116883,0.12643678160919541,3.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.4647887323943662,0.049008168028004666,2.0,0.14285714285714285,2.0,1.0,18.0,1.0,1.0,0.0
1.0,2.0,51.0,0.5306122448979597,0.11688311688311688,0.12643678160919541,3.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.4647887323943662,0.018669778296382736,2.0,0.14285714285714285,2.0,1.0,24.0,1.0,1.0,0.0
1.0,2.0,52.0,0.8775510204081644,0.45454545454545453,0.12643678160919541,3.0,3.0,5.0,2.0,2.0,3.0,1.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.6197183098591549,0.6266044340723455,2.0,0.14285714285714285,3.0,1.0,11.0,1.0,1.0,0.0
1.0,1.0,53.0,0.4489795918367354,0.05194805194805195,0.12643678160919541,3.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,0.13333333333333333,3.0,5.0,0.4647887323943662,0.7549591598599766,2.0,0.14285714285714285,1.0,1.0,6.0,1.0,1.0,0.0
2.0,1.0,54.0,0.6734693877551031,0.14285714285714285,0.12643678160919541,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13333333333333333,1.0,1.0,0.4084507042253521,0.8599766627771295,2.0,0.14285714285714285,1.0,2.0,4.0,1.0,1.0,0.0
1.0,1.0,55.0,0.5306122448979597,0.11688311688311688,0.12643678160919541,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,2.0,0.13333333333333333,4.0,5.0,0.5915492957746479,0.030338389731621944,2.0,0.14285714285714285,2.0,1.0,25.0,1.0,1.0,0.0
1.0,1.0,56.0,0.38775510204081615,0.06493506493506493,0.12643678160919541,3.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,0.13333333333333333,3.0,5.0,0.4507042253521127,0.049008168028004666,3.0,0.14285714285714285,1.0,1.0,12.0,1.0,1.0,0.0
1.0,2.0,57.0,0.551020408163266,0.45454545454545453,0.8160919540229885,3.0,1.0,2.0,1.0,3.0,4.0,1.0,2.0,1.0,0.13333333333333333,1.0,5.0,0.4507042253521127,0.0280046674445741,2.0,0.14285714285714285,1.0,1.0,12.0,1.0,1.0,0.0
1.0,1.0,58.0,0.5306122448979597,0.11688311688311688,0.1724137931034483,3.0,3.0,6.0,2.0,5.0,3.0,4.0,1.0,1.0,0.13333333333333333,4.0,5.0,0.9014084507042254,0.052508751458576426,2.0,0.14285714285714285,2.0,1.0,6.0,1.0,1.0,0.0
2.0,1.0,59.0,0.5306122448979597,0.15584415584415584,0.2413793103448276,2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,0.13333333333333333,4.0,4.0,0.5774647887323944,0.033838973162193704,2.0,0.14285714285714285,1.0,2.0,26.0,1.0,1.0,0.0
2.0,1.0,60.0,0.5918367346938774,0.07792207792207792,0.011494252873563218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.4788732394366197,0.6732788798133023,2.0,0.14285714285714285,1.0,2.0,4.0,1.0,1.0,0.0
2.0,1.0,61.0,0.5306122448979597,0.14285714285714285,0.08045977011494253,3.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,0.0,1.0,1.0,0.6901408450704225,0.9649941656942824,2.0,0.14285714285714285,1.0,1.0,23.0,1.0,1.0,0.0
2.0,1.0,62.0,0.693877551020408,0.12987012987012986,0.12643678160919541,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.13333333333333333,3.0,1.0,0.5352112676056338,0.033838973162193704,2.0,0.14285714285714285,1.0,2.0,4.0,1.0,1.0,0.0
2.0,1.0,63.0,0.5306122448979597,0.11688311688311688,0.12643678160919541,3.0,3.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,0.13333333333333333,4.0,5.0,0.4788732394366197,0.037339556592765465,2.0,0.14285714285714285,2.0,1.0,6.0,1.0,1.0,0.0
2.0,1.0,64.0,0.428571428571429,0.11688311688311688,0.2413793103448276,4.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,0.13333333333333333,1.0,1.0,0.6197183098591549,0.06184364060676779,2.0,0.14285714285714285,1.0,2.0,4.0,1.0,1.0,0.0
1.0,1.0,65.0,0.38775510204081615,0.11688311688311688,0.12643678160919541,3.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,0.13333333333333333,3.0,5.0,0.5211267605633803,0.7666277712952159,2.0,0.14285714285714285,1.0,1.0,6.0,1.0,1.0,0.0
2.0,1.0,66.0,0.5306122448979597,0.35064935064935066,0.3103448275862069,3.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,0.13333333333333333,3.0,2.0,0.5633802816901409,0.060676779463243874,2.0,0.14285714285714285,1.0,1.0,12.0,1.0,1.0,0.0
1.0,1.0,67.0,0.551020408163266,0.37662337662337664,0.26436781609195403,3.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,0.0,4.0,5.0,0.7183098591549296,0.661610268378063,2.0,0.14285714285714285,3.0,2.0,6.0,1.0,1.0,0.0
2.0,1.0,68.0,0.46938775510204184,0.09090909090909091,0.3563218390804598,2.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,0.13333333333333333,1.0,5.0,0.5211267605633803,0.661610268378063,2.0,0.14285714285714285,1.0,2.0,4.0,1.0,1.0,0.0
2.0,1.0,69.0,0.857142857142858,0.5064935064935064,0.4827586206896552,3.0,3.0,6.0,2.0,2.0,4.0,3.0,1.0,2.0,0.13333333333333333,3.0,5.0,0.7746478873239436,0.05484247374562427,2.0,0.2285714285714286,1.0,2.0,3.0,1.0,1.0,1.0
1.0,1.0,70.0,0.5714285714285725,0.06493506493506493,0.08045977011494253,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.13333333333333333,1.0,1.0,0.4225352112676056,0.7316219369894983,2.0,0.14285714285714285,1.0,2.0,4.0,1.0,1.0,0.0
1.0,1.0,71.0,0.5306122448979597,0.19480519480519481,0.12643678160919541,4.0,3.0,4.0,2.0,5.0,4.0,1.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.4647887323943662,0.049008168028004666,2.0,0.14285714285714285,3.0,1.0,6.0,1.0,1.0,0.0
2.0,1.0,72.0,0.5918367346938774,0.06493506493506493,0.08045977011494253,3.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.4647887323943662,0.6266044340723455,2.0,0.14285714285714285,1.0,2.0,4.0,1.0,1.0,0.0
1.0,2.0,73.0,0.5306122448979597,0.7142857142857143,0.6781609195402298,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,0.13333333333333333,2.0,1.0,0.49295774647887325,0.023337222870478413,2.0,0.14285714285714285,1.0,1.0,17.0,1.0,1.0,0.0
1.0,1.0,74.0,0.4897959183673468,0.14285714285714285,0.1724137931034483,1.0,3.0,3.0,1.0,4.0,4.0,1.0,2.0,3.0,0.6266666666666667,2.0,5.0,0.6197183098591549,0.03850641773628938,1.0,0.38571428571428573,2.0,1.0,27.0,1.0,1.0,0.0
1.0,1.0,75.0,0.5306122448979597,0.2597402597402597,0.3103448275862069,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.4507042253521127,0.046674445740956826,2.0,0.14285714285714285,1.0,1.0,28.0,1.0,1.0,0.0
2.0,1.0,76.0,0.38775510204081615,0.12987012987012986,0.26436781609195403,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,0.13333333333333333,1.0,5.0,0.5633802816901409,0.043173862310385065,2.0,0.14285714285714285,1.0,2.0,4.0,1.0,1.0,0.0
1.0,1.0,77.0,0.6734693877551031,0.19480519480519481,0.26436781609195403,4.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.6901408450704225,0.7082847141190198,3.0,0.14285714285714285,3.0,1.0,6.0,1.0,1.0,0.0
1.0,1.0,78.0,0.5306122448979597,0.2597402597402597,0.08045977011494253,3.0,4.0,5.0,2.0,2.0,3.0,2.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.7887323943661971,0.049008168028004666,2.0,0.14285714285714285,2.0,1.0,9.0,1.0,1.0,0.0
1.0,1.0,79.0,0.5918367346938774,0.06493506493506493,0.08045977011494253,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.4788732394366197,0.6382730455075846,1.0,0.14285714285714285,1.0,1.0,12.0,8.0,1.0,0.0
1.0,1.0,80.0,0.5306122448979597,0.06493506493506493,0.12643678160919541,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.13333333333333333,4.0,5.0,0.49295774647887325,0.6149358226371062,2.0,0.14285714285714285,1.0,1.0,12.0,1.0,1.0,0.0
1.0,1.0,81.0,0.6122448979591838,0.09090909090909091,0.1724137931034483,3.0,1.0,4.0,1.0,5.0,4.0,3.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.647887323943662,0.8599766627771295,2.0,0.14285714285714285,1.0,1.0,6.0,1.0,1.0,0.0
2.0,1.0,82.0,0.5306122448979597,0.11688311688311688,0.3563218390804598,3.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.5774647887323944,0.7782963827304551,2.0,0.14285714285714285,1.0,2.0,4.0,1.0,1.0,0.0
1.0,1.0,83.0,0.5306122448979597,0.09090909090909091,0.034482758620689655,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.5352112676056338,0.7199533255542591,2.0,0.14285714285714285,1.0,1.0,6.0,5.0,1.0,0.0
2.0,1.0,84.0,0.8367346938775515,0.11688311688311688,0.12643678160919541,3.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,0.6,4.0,5.0,0.4647887323943662,0.039673278879813305,1.0,0.14285714285714285,3.0,1.0,13.0,1.0,1.0,0.0
1.0,1.0,85.0,0.2244897959183677,0.3116883116883117,0.2413793103448276,1.0,1.0,1.0,1.0,5.0,3.0,1.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.4225352112676056,0.8366394399066511,2.0,0.0,1.0,1.0,20.0,7.0,1.0,0.0
2.0,1.0,86.0,0.551020408163266,0.16883116883116883,0.12643678160919541,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0.13333333333333333,4.0,5.0,0.5915492957746479,0.7782963827304551,2.0,0.14285714285714285,1.0,2.0,4.0,1.0,1.0,0.0
1.0,1.0,87.0,0.5918367346938774,0.3246753246753247,0.3563218390804598,3.0,1.0,6.0,2.0,4.0,3.0,1.0,2.0,2.0,0.13333333333333333,1.0,4.0,0.8873239436619719,0.08051341890315052,2.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0
2.0,1.0,88.0,0.6734693877551031,0.06493506493506493,0.21839080459770116,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,0.13333333333333333,1.0,5.0,0.49295774647887325,0.6849474912485415,1.0,0.0,1.0,2.0,4.0,1.0,1.0,0.0
2.0,1.0,89.0,0.4489795918367354,0.11688311688311688,0.12643678160919541,3.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,0.13333333333333333,1.0,1.0,0.4647887323943662,0.025670945157526256,2.0,0.14285714285714285,3.0,1.0,29.0,1.0,1.0,0.0
1.0,1.0,90.0,0.5306122448979597,0.07792207792207792,0.6781609195402298,4.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,0.13333333333333333,4.0,4.0,0.5211267605633803,0.050175029171528586,2.0,0.14285714285714285,1.0,1.0,29.0,1.0,1.0,0.0
1.0,1.0,91.0,0.6734693877551031,0.11688311688311688,0.12643678160919541,3.0,1.0,3.0,1.0,5.0,4.0,2.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.4084507042253521,0.037339556592765465,2.0,0.14285714285714285,1.0,1.0,28.0,1.0,1.0,0.0
1.0,1.0,92.0,0.40816326530612257,0.35064935064935066,0.12643678160919541,3.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.38028169014084506,0.6732788798133023,2.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0
1.0,1.0,93.0,0.6122448979591838,0.12337662337662338,0.12643678160919541,3.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.5633802816901409,0.050175029171528586,2.0,0.14285714285714285,1.0,1.0,30.0,1.0,1.0,0.0
1.0,1.0,94.0,0.4897959183673468,0.0,0.034482758620689655,3.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,0.13333333333333333,4.0,5.0,0.4647887323943662,0.049008168028004666,2.0,0.14285714285714285,2.0,1.0,18.0,1.0,1.0,0.0
