feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
2.0,0.20482483097725876,0.03571428571428571,1.0,1.0,7.0,3.0,0.03508771929824561,1.0,2.0,0.05,1.0,1.0,0.0835,0.005,0.0
1.0,0.3431161647203442,0.0625,2.0,2.0,6.0,2.0,0.008771929824561403,1.0,1.0,0.0,1.0,1.0,0.082,0.004,0.0
1.0,0.30854333128457284,0.5892857142857143,2.0,2.0,6.0,3.0,0.14035087719298245,1.0,1.0,0.0,2.0,1.0,0.04,0.0,0.0
1.0,0.05377996312231103,0.17857142857142858,1.0,1.0,7.0,3.0,0.013157894736842105,1.0,2.0,0.05,2.0,1.0,0.0,0.00038,0.0
1.0,0.15104486785494775,0.42857142857142855,1.0,1.0,13.0,3.0,0.07894736842105263,1.0,2.0,0.05,1.0,1.0,0.06,5e-05,0.0
1.0,0.19452980946527348,0.14285714285714285,2.0,2.0,2.0,1.0,0.20175438596491227,1.0,2.0,0.05,1.0,1.0,0.0375,0.0,0.0
1.0,0.6094038106945298,0.5535714285714286,1.0,1.0,9.0,6.0,0.0,1.0,2.0,0.5,2.0,1.0,0.076,0.0013,0.0
1.0,0.2086662569145667,0.041607142857142856,1.0,1.0,13.0,3.0,0.017543859649122806,1.0,1.0,0.0,2.0,2.0,0.14,0.0,0.0
2.0,0.15104486785494775,0.39285714285714285,2.0,2.0,12.0,3.0,0.15789473684210525,1.0,1.0,0.0,2.0,1.0,0.06,0.0,0.0
1.0,0.3956668715427167,0.08035714285714286,2.0,2.0,8.0,1.0,0.3508771929824561,1.0,1.0,0.0,1.0,1.0,0.088,0.0,0.0
2.0,0.07037492317148125,0.026785714285714284,1.0,1.0,6.0,3.0,0.027894736842105264,1.0,2.0,0.125,1.0,1.0,0.07,5e-05,0.0
1.0,0.21511985248924403,0.125,1.0,1.0,4.0,3.0,0.12280701754385964,1.0,2.0,0.075,1.0,1.0,0.1645,0.0,0.0
2.0,0.1433620159803319,0.037142857142857144,2.0,2.0,5.0,4.0,0.017543859649122806,1.0,2.0,0.075,2.0,1.0,0.09,0.00147,0.0
1.0,0.1445912722802704,0.44642857142857145,1.0,1.0,4.0,3.0,0.03070175438596491,1.0,1.0,0.0,1.0,1.0,0.13,0.0,0.0
2.0,0.28549477566072523,0.026785714285714284,1.0,1.0,13.0,2.0,0.03508771929824561,1.0,2.0,0.075,1.0,1.0,0.106,0.0,0.0
1.0,0.08451137062077446,0.044642857142857144,2.0,2.0,6.0,1.0,0.04824561403508772,1.0,2.0,0.075,1.0,1.0,0.07,0.0021,0.0
2.0,0.15749846342962512,0.04017857142857143,1.0,1.0,7.0,3.0,0.045263157894736845,1.0,2.0,0.05,2.0,1.0,0.1,0.0,0.0
1.0,0.3469575906576521,0.25,1.0,1.0,7.0,1.0,0.40350877192982454,1.0,2.0,0.175,1.0,1.0,0.15,5e-05,0.0
1.0,0.5736017209588199,0.23214285714285715,1.0,1.0,13.0,3.0,0.22070175438596493,1.0,2.0,0.375,2.0,1.0,0.0,0.11202,1.0
1.0,0.6555009219422249,0.25142857142857145,1.0,1.0,11.0,3.0,0.49122807017543857,1.0,2.0,0.15,1.0,1.0,0.18,0.01332,1.0
1.0,0.8079287031346035,0.19642857142857142,1.0,1.0,9.0,6.0,0.45614035087719296,1.0,2.0,0.025,1.0,1.0,0.0,0.0,1.0
2.0,0.4955439459127228,0.2857142857142857,1.0,1.0,9.0,2.0,0.22807017543859648,1.0,2.0,0.15,2.0,1.0,0.1875,0.511,1.0
2.0,0.6350645359557467,0.5714285714285714,1.0,1.0,14.0,4.0,0.0,1.0,2.0,0.375,2.0,1.0,0.0,0.00247,1.0
2.0,0.3866011063306699,0.2692857142857143,2.0,2.0,7.0,1.0,0.2807017543859649,1.0,2.0,0.35,2.0,1.0,0.0,0.023,1.0
2.0,0.5786724031960664,0.5357142857142857,1.0,1.0,6.0,3.0,0.19298245614035087,1.0,2.0,0.35,2.0,1.0,0.0,0.022,1.0
2.0,0.09987707437000617,0.4107142857142857,2.0,2.0,14.0,5.0,0.0,1.0,2.0,0.275,1.0,1.0,0.0,0.0,1.0
2.0,0.8220651505838967,0.5357142857142857,1.0,1.0,9.0,6.0,0.0,1.0,2.0,0.35,2.0,1.0,0.0,0.03376,1.0
2.0,0.6977566072526121,0.5892857142857143,1.0,1.0,7.0,3.0,0.38596491228070173,1.0,1.0,0.0,1.0,1.0,0.0105,0.10561,1.0
2.0,0.5325752919483712,0.48517857142857146,1.0,1.0,13.0,1.0,0.2982456140350877,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
1.0,0.49938537185003073,0.010357142857142856,1.0,1.0,6.0,2.0,0.5263157894736842,1.0,2.0,0.5,2.0,1.0,0.0,0.15,1.0
2.0,0.6439766441303011,0.6964285714285714,1.0,1.0,6.0,3.0,0.19298245614035087,1.0,2.0,0.175,2.0,1.0,0.0,0.03,1.0
1.0,0.297019053472649,0.1442857142857143,2.0,2.0,2.0,2.0,0.2982456140350877,1.0,2.0,0.175,1.0,1.0,0.0975,0.0,1.0
1.0,0.5070682237246465,0.27232142857142855,1.0,1.0,4.0,1.0,0.543859649122807,1.0,2.0,0.3,2.0,1.0,0.0,0.0079,1.0
2.0,0.3111555009219422,0.42857142857142855,1.0,1.0,7.0,1.0,0.49122807017543857,1.0,2.0,0.2,2.0,1.0,0.0,0.0659,1.0
1.0,0.37123540258143817,0.20982142857142858,1.0,1.0,10.0,1.0,0.3508771929824561,1.0,2.0,0.35,1.0,1.0,0.1995,0.0,1.0
1.0,0.6900737553779963,0.5178571428571429,1.0,1.0,5.0,4.0,0.631578947368421,1.0,2.0,0.375,1.0,1.0,0.0,0.01,1.0
1.0,0.6261524277811924,0.4107142857142857,1.0,1.0,5.0,4.0,0.17543859649122806,1.0,2.0,0.125,2.0,1.0,0.0,0.08851,1.0
1.0,0.7721266133988937,0.39285714285714285,1.0,1.0,9.0,6.0,0.7017543859649122,1.0,2.0,0.175,1.0,1.0,0.011,0.0,1.0
2.0,0.4955439459127228,0.10714285714285714,1.0,1.0,8.0,3.0,0.4868421052631579,1.0,2.0,0.05,1.0,1.0,0.2595,0.01704,1.0
2.0,0.6645666871542717,0.75,1.0,1.0,2.0,2.0,0.3508771929824561,1.0,2.0,0.325,2.0,1.0,0.0,0.067,1.0
1.0,0.3853718500307314,0.7678571428571429,1.0,1.0,9.0,6.0,0.7017543859649122,1.0,2.0,0.275,2.0,1.0,0.0,0.012,1.0
1.0,0.11524277811923789,0.022321428571428572,1.0,1.0,13.0,3.0,0.008771929824561403,2.0,1.0,0.0,2.0,1.0,0.19,0.0201,0.0
1.0,0.04609711124769517,0.36607142857142855,1.0,1.0,6.0,1.0,0.03807017543859649,2.0,1.0,0.0,2.0,1.0,0.16,0.00013,0.0
1.0,0.07421634910878919,0.3944642857142857,1.0,1.0,6.0,3.0,0.07017543859649122,2.0,1.0,0.0,1.0,1.0,0.068,0.0,0.0
1.0,0.07421634910878919,0.0,1.0,1.0,3.0,3.0,0.017543859649122806,2.0,1.0,0.0,2.0,1.0,0.072,0.0,0.0
2.0,0.08574062692071298,0.3407142857142857,1.0,1.0,2.0,3.0,0.0014035087719298247,2.0,1.0,0.0,2.0,1.0,0.1,0.01,0.0
2.0,0.1433620159803319,0.0625,2.0,2.0,6.0,3.0,0.005789473684210527,2.0,1.0,0.0,2.0,1.0,0.066,0.0,0.0
1.0,0.27012907191149355,0.08339285714285714,1.0,1.0,3.0,1.0,0.20175438596491227,2.0,1.0,0.0,1.0,1.0,0.146,0.0,0.0
2.0,0.5685310387215735,0.0,2.0,2.0,5.0,4.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
2.0,0.5070682237246465,0.047678571428571424,1.0,1.0,2.0,7.0,0.011754385964912281,2.0,1.0,0.0,2.0,1.0,0.0,0.0012,0.0
2.0,0.08066994468346653,0.375,2.0,2.0,8.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.077,0.00032,0.0
1.0,0.5467117393976644,0.02089285714285714,1.0,1.0,5.0,4.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0725,0.0,0.0
1.0,0.02934849416103255,0.003035714285714286,2.0,2.0,6.0,3.0,0.0014035087719298247,2.0,1.0,0.0,2.0,1.0,0.07,0.00722,0.0
1.0,0.04855562384757219,0.04321428571428571,2.0,2.0,9.0,8.0,0.0,2.0,1.0,0.0,2.0,1.0,0.05,0.0,0.0
2.0,0.25860479409956977,0.21428571428571427,1.0,1.0,3.0,3.0,0.043859649122807015,2.0,1.0,0.0,2.0,1.0,0.136,0.0,0.0
1.0,0.2636754763368162,0.08928571428571429,1.0,1.0,6.0,3.0,0.043859649122807015,2.0,1.0,0.0,1.0,1.0,0.14,0.0,0.0
1.0,0.044714197910264264,0.24107142857142858,2.0,2.0,11.0,3.0,0.0014035087719298247,2.0,1.0,0.0,2.0,1.0,0.07,0.0,0.0
1.0,0.35464044253226795,0.36160714285714285,2.0,2.0,13.0,3.0,0.0043859649122807015,2.0,1.0,0.0,2.0,1.0,0.08,0.0,0.0
1.0,0.23816840811309162,0.08928571428571429,1.0,1.0,10.0,1.0,0.07894736842105263,2.0,1.0,0.0,1.0,2.0,0.17,0.0,0.0
1.0,0.05239704978488012,0.20392857142857143,1.0,1.0,3.0,3.0,0.018947368421052633,2.0,1.0,0.0,2.0,1.0,0.06,0.0,0.0
2.0,0.061462814996926886,0.19339285714285714,1.0,1.0,2.0,1.0,0.010175438596491228,2.0,1.0,0.0,2.0,1.0,0.04,0.00484,0.0
2.0,0.04609711124769517,0.35714285714285715,2.0,2.0,7.0,1.0,0.005789473684210527,2.0,1.0,0.0,2.0,1.0,0.17,0.0,0.0
1.0,0.1445912722802704,0.48214285714285715,2.0,2.0,5.0,4.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
1.0,0.016594960049170254,0.02982142857142857,1.0,1.0,11.0,3.0,0.0029824561403508773,1.0,1.0,0.0,2.0,2.0,0.1,0.0,0.0
1.0,0.09219422249539032,0.03125,2.0,2.0,6.0,1.0,0.008771929824561403,2.0,1.0,0.0,2.0,1.0,0.14,0.00204,0.0
1.0,0.13444990780577754,0.02089285714285714,2.0,2.0,10.0,1.0,0.0043859649122807015,2.0,1.0,0.0,2.0,1.0,0.12,1e-05,0.0
1.0,0.03841425937307932,0.15928571428571428,1.0,1.0,6.0,3.0,0.008771929824561403,2.0,1.0,0.0,2.0,2.0,0.04,0.0,0.0
2.0,0.020436385986478182,0.044642857142857144,1.0,1.0,7.0,3.0,0.008771929824561403,2.0,2.0,0.025,2.0,1.0,0.054,0.00098,0.0
1.0,0.12415488629379226,0.45089285714285715,1.0,1.0,6.0,3.0,0.0043859649122807015,2.0,2.0,0.05,2.0,1.0,0.0,0.05552,0.0
1.0,0.03703134603564841,0.35714285714285715,1.0,1.0,4.0,1.0,0.005789473684210527,2.0,2.0,0.025,2.0,1.0,0.06,1e-05,0.0
2.0,0.11524277811923789,0.05357142857142857,1.0,1.0,5.0,4.0,0.0,2.0,2.0,0.05,1.0,1.0,0.1,0.00105,0.0
1.0,0.22019053472649047,0.020714285714285713,1.0,1.0,4.0,3.0,0.010175438596491228,2.0,2.0,0.025,2.0,1.0,0.17,0.02803,0.0
1.0,0.056238475722188055,0.01482142857142857,2.0,2.0,6.0,3.0,0.005789473684210527,2.0,2.0,0.025,2.0,1.0,0.1,1e-05,0.0
2.0,0.10110633066994469,0.0625,2.0,2.0,14.0,5.0,0.0,2.0,1.0,0.0,2.0,1.0,0.08,0.0,0.0
1.0,0.12031346035648433,0.026785714285714284,1.0,1.0,11.0,3.0,0.017543859649122806,2.0,1.0,0.0,1.0,2.0,0.16,0.0,0.0
2.0,0.04732636754763368,0.35714285714285715,1.0,1.0,4.0,3.0,0.03508771929824561,2.0,2.0,0.025,2.0,1.0,0.06,1e-05,0.0
1.0,0.15749846342962512,0.019285714285714288,1.0,1.0,4.0,3.0,0.005789473684210527,2.0,2.0,0.025,2.0,1.0,0.136,0.00444,0.0
1.0,0.31622618315918866,0.08625000000000001,1.0,1.0,4.0,3.0,0.0043859649122807015,2.0,2.0,0.05,2.0,1.0,0.11,1e-05,0.0
2.0,0.013982790411800835,0.011964285714285715,1.0,1.0,5.0,4.0,0.0,2.0,2.0,0.025,2.0,1.0,0.08,0.00126,0.0
2.0,0.25737553779963124,0.11160714285714286,1.0,1.0,5.0,4.0,0.10666666666666667,2.0,2.0,0.05,1.0,1.0,0.1,4e-05,0.0
1.0,0.8297480024585127,0.32142857142857145,1.0,1.0,5.0,4.0,0.14035087719298245,2.0,2.0,0.025,2.0,1.0,0.035,6e-05,0.0
1.0,0.2727412415488629,0.08928571428571429,1.0,1.0,12.0,3.0,0.06140350877192982,2.0,2.0,0.05,1.0,1.0,0.36,0.0,0.0
1.0,0.017824216349108763,0.09821428571428571,1.0,1.0,12.0,3.0,0.023333333333333334,2.0,2.0,0.025,2.0,1.0,0.04,0.00021,0.0
1.0,0.10755992624462203,0.4330357142857143,1.0,1.0,6.0,3.0,0.11701754385964912,2.0,2.0,0.05,1.0,1.0,0.09,0.00173,0.0
2.0,0.651659496004917,0.07142857142857142,1.0,1.0,5.0,4.0,0.22807017543859648,2.0,2.0,0.025,2.0,1.0,0.0,0.0001,0.0
1.0,0.04732636754763368,0.005892857142857143,1.0,1.0,3.0,3.0,0.008771929824561403,2.0,1.0,0.0,1.0,2.0,0.14,0.0,0.0
1.0,0.12676705593116167,0.03571428571428571,1.0,1.0,6.0,3.0,0.017543859649122806,2.0,1.0,0.0,1.0,2.0,0.14,0.0,0.0
2.0,0.011524277811923786,0.10267857142857142,1.0,1.0,7.0,3.0,0.0029824561403508773,2.0,1.0,0.0,2.0,1.0,0.06,0.0,0.0
2.0,0.14720344191763984,0.48803571428571424,1.0,1.0,7.0,1.0,0.05263157894736842,2.0,1.0,0.0,2.0,1.0,0.14,1e-05,0.0
1.0,0.515980331899201,0.9405357142857144,2.0,2.0,5.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1.0,0.1279963122311002,0.09821428571428571,1.0,1.0,5.0,4.0,0.15789473684210525,2.0,1.0,0.0,2.0,1.0,0.08,0.00025,0.0
1.0,0.05239704978488012,0.3675,1.0,1.0,5.0,4.0,0.01456140350877193,2.0,1.0,0.0,2.0,1.0,0.04,0.0,0.0
1.0,0.19330055316533498,0.046071428571428576,1.0,1.0,13.0,1.0,0.008771929824561403,2.0,1.0,0.0,1.0,2.0,0.07,0.0,0.0
2.0,0.2547633681622618,0.10714285714285714,2.0,2.0,14.0,5.0,0.0,2.0,1.0,0.0,2.0,1.0,0.08,0.0002,0.0
2.0,0.14843269821757835,0.16071428571428573,1.0,1.0,4.0,3.0,0.03508771929824561,2.0,1.0,0.0,1.0,1.0,0.18,6e-05,0.0
1.0,0.05885064535955747,0.0625,2.0,2.0,6.0,3.0,0.0819298245614035,2.0,1.0,0.0,1.0,1.0,0.056,6e-05,0.0
2.0,0.017824216349108763,0.0075,1.0,1.0,12.0,3.0,0.0043859649122807015,2.0,1.0,0.0,2.0,1.0,0.1,1e-05,0.0
2.0,0.05239704978488012,0.35714285714285715,1.0,1.0,3.0,3.0,0.01456140350877193,2.0,1.0,0.0,2.0,1.0,0.04,0.00042,0.0
1.0,0.016594960049170254,0.0,2.0,2.0,12.0,3.0,0.008771929824561403,2.0,1.0,0.0,2.0,1.0,0.03,0.0,0.0
1.0,0.12031346035648433,0.026785714285714284,1.0,1.0,11.0,3.0,0.017543859649122806,1.0,1.0,0.0,1.0,2.0,0.16,0.0,0.0
1.0,0.09219422249539032,0.008928571428571428,2.0,2.0,6.0,1.0,0.008771929824561403,2.0,1.0,0.0,2.0,1.0,0.14,0.00204,0.0
1.0,0.0358020897357099,0.7857142857142857,3.0,3.0,5.0,7.0,0.0,2.0,1.0,0.0,1.0,3.0,0.225,1.0,1.0
1.0,0.061462814996926886,0.0,2.0,2.0,11.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,0.25,1e-05,1.0
2.0,0.044714197910264264,0.013392857142857142,3.0,3.0,10.0,4.0,0.3508771929824561,2.0,1.0,0.0,1.0,2.0,0.15,0.0,1.0
1.0,0.28426551936078676,0.044642857142857144,1.0,1.0,4.0,3.0,0.040877192982456144,2.0,1.0,0.0,2.0,1.0,0.06,0.0,0.0
2.0,0.22019053472649047,0.03875,2.0,2.0,8.0,3.0,0.03508771929824561,2.0,1.0,0.0,2.0,1.0,0.14,0.00013,0.0
1.0,0.23048555623847575,0.03875,2.0,2.0,6.0,3.0,0.0014035087719298247,2.0,1.0,0.0,2.0,1.0,0.085,0.00179,0.0
1.0,0.3942839582052858,0.125,1.0,1.0,2.0,2.0,0.017543859649122806,2.0,1.0,0.0,2.0,2.0,0.58,0.0,0.0
1.0,0.30208973570989545,0.08928571428571429,2.0,2.0,4.0,3.0,0.10526315789473684,2.0,1.0,0.0,2.0,2.0,0.1,0.0,0.0
1.0,0.11524277811923789,0.14285714285714285,2.0,2.0,2.0,3.0,0.0029824561403508773,2.0,1.0,0.0,1.0,1.0,0.2055,0.0,0.0
1.0,0.08066994468346653,0.0,1.0,1.0,6.0,3.0,0.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0
2.0,0.27781192378610936,0.08928571428571429,2.0,2.0,6.0,3.0,0.08771929824561403,2.0,1.0,0.0,1.0,1.0,0.0,2e-05,0.0
1.0,0.29056545789797167,0.08928571428571429,1.0,1.0,6.0,3.0,0.03508771929824561,2.0,1.0,0.0,2.0,1.0,0.23,0.00016,0.0
2.0,0.15488629379225569,0.44642857142857145,1.0,1.0,3.0,3.0,0.03508771929824561,2.0,1.0,0.0,1.0,1.0,0.09,0.01062,0.0
1.0,0.30086047940995697,0.08928571428571429,1.0,1.0,10.0,2.0,0.017543859649122806,2.0,1.0,0.0,2.0,1.0,0.174,0.0,0.0
1.0,0.19207129686539648,0.026785714285714284,1.0,1.0,7.0,1.0,0.005789473684210527,2.0,1.0,0.0,1.0,1.0,0.11,0.00251,0.0
1.0,0.4941610325752919,0.23214285714285715,1.0,1.0,6.0,3.0,0.03508771929824561,2.0,1.0,0.0,1.0,1.0,0.0,0.00228,0.0
2.0,0.30208973570989545,0.044642857142857144,2.0,2.0,2.0,1.0,0.017543859649122806,2.0,1.0,0.0,1.0,1.0,0.08,0.0,0.0
2.0,0.27781192378610936,0.10714285714285714,2.0,2.0,12.0,3.0,0.07017543859649122,2.0,1.0,0.0,2.0,1.0,0.09,0.0,0.0
1.0,0.19714197910264292,0.10714285714285714,1.0,1.0,4.0,3.0,0.02631578947368421,2.0,1.0,0.0,1.0,1.0,0.15,0.00067,0.0
2.0,0.36739397664413026,0.14285714285714285,1.0,1.0,6.0,3.0,0.10526315789473684,2.0,1.0,0.0,2.0,1.0,0.24,0.0,0.0
1.0,0.4237861094038107,0.14589285714285713,1.0,1.0,12.0,3.0,0.0014035087719298247,2.0,1.0,0.0,2.0,1.0,0.054,0.001,0.0
1.0,0.18054701905347267,0.08035714285714286,1.0,1.0,2.0,2.0,0.017543859649122806,2.0,1.0,0.0,1.0,1.0,0.32,0.04,0.0
1.0,0.28549477566072523,0.09821428571428571,1.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,0.09,0.0,0.0
1.0,0.36493546404425325,0.0625,1.0,1.0,13.0,3.0,0.017543859649122806,2.0,1.0,0.0,1.0,1.0,0.15,2e-05,0.0
1.0,0.7311001843884449,0.25,1.0,1.0,9.0,6.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.00012,0.0
1.0,0.2624462200368777,0.05357142857142857,1.0,1.0,6.0,3.0,0.008771929824561403,2.0,1.0,0.0,1.0,1.0,0.186,0.00122,0.0
1.0,0.17793484941610327,0.16071428571428573,2.0,2.0,6.0,2.0,0.08771929824561403,2.0,1.0,0.0,2.0,1.0,0.1,0.0121,0.0
1.0,0.7400122925629994,0.019285714285714288,1.0,1.0,6.0,3.0,0.020526315789473684,1.0,2.0,0.075,1.0,1.0,0.09,0.0,0.0
1.0,0.19452980946527348,0.05357142857142857,1.0,1.0,4.0,3.0,0.07894736842105263,2.0,2.0,0.025,1.0,1.0,0.05,3e-05,0.0
2.0,0.1690227412415489,0.07142857142857142,1.0,1.0,14.0,5.0,0.0,2.0,1.0,0.0,1.0,1.0,0.138,1e-05,0.0
1.0,0.10755992624462203,0.02089285714285714,2.0,2.0,5.0,4.0,0.0,2.0,1.0,0.0,2.0,1.0,0.05,0.0,0.0
1.0,0.11263060848186847,0.4107142857142857,2.0,2.0,11.0,3.0,0.05263157894736842,2.0,1.0,0.0,1.0,1.0,0.0,0.04,0.0
1.0,0.23939766441303012,0.056607142857142856,1.0,1.0,3.0,3.0,0.020526315789473684,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
1.0,0.33036263060848187,0.07142857142857142,1.0,1.0,2.0,3.0,0.008771929824561403,2.0,1.0,0.0,1.0,1.0,0.1105,0.0,0.0
2.0,0.012753534111862325,0.005892857142857143,1.0,1.0,12.0,3.0,0.03508771929824561,2.0,2.0,0.05,1.0,1.0,0.16,1e-05,0.0
1.0,0.3995082974800246,0.047678571428571424,1.0,1.0,3.0,3.0,0.005789473684210527,2.0,1.0,0.0,2.0,1.0,0.084,0.0,0.0
2.0,0.06653349723417333,0.005892857142857143,1.0,1.0,7.0,3.0,0.0014035087719298247,2.0,1.0,0.0,1.0,1.0,0.19,0.0,0.0
